"Código","Pantalla o componente","Criterio WCAG","Prueba realizada","Resultado","Evidencia encontrada en el código","Problema detectado","Nivel de severidad","Recomendación","Archivo y línea de código relacionada"
"AX-01","Producto desplegado","Disponibilidad operativa","Verificación de configuración productiva web y API","Cumple","Netlify publica el frontend y usa EXPO_PUBLIC_API_URL hacia Render; Render ejecuta cacao-leaf-api con Gunicorn.","No se detecta barrera de disponibilidad en la configuración final.","Baja","Mantener variables de entorno productivas y revisar después de cada cambio de dominio.","netlify.toml:1; render.yaml:3"
"AX-02","Paleta global","1.4.3 Contraste mínimo","Revisión de contraste en colores principales de texto, estados y fondos","Cumple","La paleta centralizada define colores de texto, estados y fondos con contraste adecuado para los flujos principales.","Riesgo bajo si se incorporan nuevos colores sin validación.","Baja","Recalcular contraste AA cuando se modifique la paleta o se agreguen nuevos estados visuales.","mobile/src/theme/colors.ts:1"
"AX-03","Botón reutilizable","4.1.2 Nombre, función, valor; 2.5.3 Etiqueta en el nombre","Revisión de nombre accesible, rol, hint y estado deshabilitado","Cumple","PrimaryButton declara accessibilityRole='button', accessibilityLabel, accessibilityHint y accessibilityState disabled.","No se detecta barrera en el componente base de acción.","Baja","Mantener etiquetas específicas por acción; evitar labels genéricos como 'Aceptar' fuera de contexto.","mobile/src/components/PrimaryButton.tsx:29"
"AX-04","Botón reutilizable","2.5.8 Tamaño del objetivo","Medición de área táctil de controles principales","Cumple","Los botones principales usan minHeight de 48 px, por encima del mínimo recomendado de 44 px.","No se detecta barrera táctil en botones principales.","Baja","Conservar mínimo de 44 px en nuevos botones, cierres y controles compactos.","mobile/src/components/PrimaryButton.tsx:59"
"AX-05","Navegación inferior","4.1.2 Nombre, función, valor; 2.4.6 Encabezados y etiquetas","Revisión de tabs, etiqueta, hint y estado seleccionado","Cumple","Cada tab expone rol tab, label, hint y accessibilityState selected; los iconos decorativos se ocultan.","Riesgo bajo si se agregan pestañas sin nombre accesible.","Baja","Probar anuncio real con TalkBack, VoiceOver y navegación por teclado en web.","mobile/src/components/TabBar.tsx:27"
"AX-06","Inicio","2.4.6 Encabezados y etiquetas; 1.3.1 Información y relaciones","Revisión de jerarquía visual y semántica del primer contacto","Cumple","La pantalla expone título principal como header y agrupa pasos de uso con labels accesibles.","No se detecta pérdida de contexto para usuarios de lector de pantalla.","Baja","Mantener el nombre Cacao Leaf como señal principal de producto y conservar pasos breves.","mobile/src/screens/HomeScreen.tsx:17; mobile/src/screens/HomeScreen.tsx:32"
"AX-07","Inicio","1.1.1 Contenido no textual","Revisión de imagen decorativa y contenido visual no esencial","Cumple","Los elementos visuales de apoyo no reemplazan instrucciones críticas; el flujo principal se comunica mediante texto y botones.","Riesgo bajo si en el futuro se usa una imagen que transmita información clave sin alternativa textual.","Baja","Solo marcar imágenes como informativas cuando aporten contenido necesario para decidir o actuar.","mobile/src/screens/HomeScreen.tsx:17"
"AX-08","Análisis de hoja","2.4.6 Encabezados y etiquetas","Revisión del título, instrucciones y contexto antes de cargar imagen","Cumple","La pantalla muestra header 'Análisis de hoja' e instrucciones claras sobre foto de hoja, buena luz y fondo limpio.","No se detecta ambigüedad crítica para iniciar el análisis.","Baja","Mantener instrucciones cortas y orientadas a la acción del usuario final.","mobile/src/screens/AnalyzeScreen.tsx:152"
"AX-09","Análisis de hoja","1.1.1 Contenido no textual","Revisión de imagen seleccionada y estado sin imagen","Cumple","La imagen seleccionada incluye accessibilityLabel; el estado vacío también comunica que no hay imagen seleccionada.","No se detecta barrera para comprender el estado de carga de imagen.","Baja","Describir la función de la imagen, sin inventar contenido visual no comprobado.","mobile/src/screens/AnalyzeScreen.tsx:166"
"AX-10","Cámara y galería","2.5.3 Etiqueta en el nombre; 4.1.2 Nombre, función, valor","Revisión de controles de captura y selección","Cumple","Los botones Cámara y Galería incluyen labels y hints específicos sobre permisos y acción esperada.","No se detecta barrera en la selección de origen de imagen.","Baja","Mantener labels equivalentes al texto visible y hints que expliquen permisos cuando aplique.","mobile/src/screens/AnalyzeScreen.tsx:177"
"AX-11","Procesamiento de imagen","4.1.3 Mensajes de estado","Revisión del estado de carga y comunicación de demora","Cumple","El procesamiento usa ActivityIndicator con label y mensaje live region: informa que Render puede tardar si estuvo inactivo.","No se detecta falta de feedback durante espera.","Baja","Conservar mensajes de espera realistas para reducir incertidumbre en servicios con cold start.","mobile/src/screens/AnalyzeScreen.tsx:185"
"AX-12","Errores de análisis","3.3.1 Identificación de errores; 4.1.3 Mensajes de estado","Revisión de errores visibles y anunciables","Cumple","Los errores se muestran con accessibilityRole='alert' y accessibilityLiveRegion='assertive'.","No se detecta error silencioso en el flujo principal.","Baja","Mantener mensajes específicos y no sustituirlos por errores genéricos del servidor.","mobile/src/screens/AnalyzeScreen.tsx:189"
"AX-13","Validación de imagen","3.3.3 Sugerencias ante errores","Revisión de validaciones de formato, tamaño y contenido visual","Cumple","El backend valida imagen real, tamaño y contenido; el cliente interpreta errores de API para mostrarlos al usuario.","Riesgo residual: la validación visual simple puede rechazar falsos positivos o aceptar imágenes afines.","Media","Mantener opción de reporte para casos mal clasificados y usar esos casos como mejora futura.","mobile/src/api/client.ts:25; backend/diagnostics/serializers.py:66"
"AX-14","Rechazo de imagen","3.3.3 Sugerencias ante errores; 4.1.3 Mensajes de estado","Revisión del rechazo de imágenes no relacionadas","Cumple","Cuando la imagen no corresponde a hoja o vegetación, el sistema muestra explicación y acción Reportar rechazo.","No se detecta cierre sin salida para falsos rechazos.","Baja","Conservar mensaje accionable y evitar culpabilizar al usuario por la imagen enviada.","mobile/src/screens/AnalyzeScreen.tsx:192"
"AX-15","Reporte de rechazo","3.3.2 Etiquetas o instrucciones; 4.1.2 Nombre, función, valor","Revisión de formulario para reportar falsos rechazos","Cumple","El modal de reporte usa título contextual, botón cerrar etiquetado y opciones seleccionables con rol radio.","Riesgo residual: confirmar foco inicial y retorno de foco con lector de pantalla real.","Media","Probar modal con TalkBack, VoiceOver y teclado en navegador.","mobile/src/screens/AnalyzeScreen.tsx:230; mobile/src/screens/AnalyzeScreen.tsx:245"
"AX-16","Resultado preliminar","1.4.1 Uso del color; 1.1.1 Contenido no textual","Revisión de tarjeta de resultado, icono, estado y confianza","Cumple","El resultado combina texto, icono, porcentaje, observación y recomendación; no depende exclusivamente del color.","No se detecta dependencia exclusiva de color para entender el estado.","Baja","Mantener porcentaje textual junto a la barra de confianza.","mobile/src/screens/AnalyzeScreen.tsx:204; mobile/src/screens/AnalyzeScreen.tsx:210"
"AX-17","Reporte de resultado","3.3.3 Sugerencias ante errores; 4.1.3 Mensajes de estado","Revisión de corrección colaborativa cuando el resultado no coincide","Cumple","El usuario puede reportar resultado incorrecto y recibe mensaje de estado al enviar el reporte.","No se detecta falta de trazabilidad para resultados observados.","Baja","Mantener motivos predefinidos y comentario opcional para análisis posterior.","mobile/src/screens/AnalyzeScreen.tsx:220; mobile/src/screens/AnalyzeScreen.tsx:127"
"AX-18","Historial","2.4.6 Encabezados y etiquetas; 1.3.1 Información y relaciones","Revisión de propósito, encabezado y descripción del historial","Cumple","El historial comunica que permite revisar análisis, reportes y casos observados para seguimiento o mejora futura.","No se detecta ambigüedad sobre la finalidad del historial.","Baja","Mantener la pantalla como centro de trazabilidad, no solo como lista cronológica.","mobile/src/screens/HistoryScreen.tsx:143"
"AX-19","Filtros de historial","4.1.2 Nombre, función, valor; 2.4.3 Orden del foco","Revisión de filtros Todos, Reportados y Rechazos","Cumple","Los filtros se exponen como tablist/tab con estado selected y contadores visibles por categoría.","Riesgo bajo si se agregan nuevas categorías sin estado seleccionado claro.","Baja","Mantener contadores y estado visual/textual para cada filtro.","mobile/src/screens/HistoryScreen.tsx:146; mobile/src/screens/HistoryScreen.tsx:151"
"AX-20","Historial vacío","3.3.3 Sugerencias ante errores","Revisión de estado sin registros por filtro","Cumple","Cuando no hay registros, el texto indica procesar una hoja o reportar un caso para iniciar trazabilidad.","No se detecta pantalla vacía sin orientación.","Baja","Mantener mensajes vacíos con siguiente acción clara.","mobile/src/screens/HistoryScreen.tsx:174"
"AX-21","Filas de historial","4.1.2 Nombre, función, valor; 1.1.1 Contenido no textual","Revisión de registros táctiles y miniaturas","Cumple","Las filas son Pressable con hint; miniaturas e imágenes ampliadas tienen accessibilityLabel.","Riesgo bajo: el label de fila puede enriquecerse más con fecha y estado si se requiere auditoría estricta.","Media","Probar lectura lineal de filas con lector de pantalla y ajustar labels si hay redundancia.","mobile/src/screens/HistoryScreen.tsx:258; mobile/src/screens/HistoryScreen.tsx:279"
"AX-22","Detalle de análisis","2.4.3 Orden del foco; 4.1.2 Nombre, función, valor","Revisión de modal de detalle y cierre","Cumple parcialmente","El detalle usa accessibilityViewIsModal, título como header y botón cerrar etiquetado.","Queda por validar foco inicial y retorno del foco en dispositivo real.","Media","Ejecutar prueba manual de apertura/cierre con lector de pantalla y teclado.","mobile/src/screens/HistoryScreen.tsx:182; mobile/src/screens/HistoryScreen.tsx:185"
"AX-23","Reporte desde historial","3.3.2 Etiquetas o instrucciones; 4.1.3 Mensajes de estado","Revisión de reporte de resultado posterior al análisis","Cumple","El historial permite marcar un análisis como observado para revisión futura mediante modal de reporte.","No se detecta pérdida de capacidad de reporte después de salir de la pantalla de análisis.","Baja","Mantener esta acción disponible desde detalle y conservar el último reporte visible.","mobile/src/screens/HistoryScreen.tsx:208; mobile/src/screens/HistoryScreen.tsx:297"
"AX-24","Limpieza de historial","3.3.4 Prevención de errores","Revisión de confirmación antes de eliminar análisis","Cumple","La limpieza abre confirmación e informa que los reportes de rechazo se conservan para revisión.","No se detecta acción destructiva inmediata sin confirmación.","Baja","Mantener confirmación explícita y diferenciar análisis eliminables de reportes conservados.","mobile/src/screens/HistoryScreen.tsx:237"
"AX-25","Pantalla de información","1.3.1 Información y relaciones; 2.4.6 Encabezados y etiquetas","Revisión de estructura informativa y jerarquía","Cumple","Los bloques de señales visuales, limitación, uso recomendado y privacidad usan encabezados claros.","No se detecta contenido informativo sin estructura.","Baja","Mantener bloques temáticos cortos y encabezados semánticos.","mobile/src/screens/InfoScreen.tsx:16; mobile/src/screens/InfoScreen.tsx:58"
"AX-26","Privacidad y mejora","3.2.4 Identificación consistente; 3.3.2 Etiquetas o instrucciones","Revisión del aviso sobre uso de reportes e imágenes","Cumple","La app informa que imágenes y observaciones reportadas pueden conservarse para revisión técnica y mejora del sistema.","Riesgo residual: si el producto escala, se requerirá política de privacidad formal ampliada.","Media","Agregar enlace a política de privacidad cuando se gestione información personal o cuentas de usuario.","mobile/src/screens/InfoScreen.tsx:57"
"AX-27","Iconos decorativos","1.1.1 Contenido no textual","Revisión de iconos que acompañan texto","Cumple","Los iconos decorativos usan accessibilityElementsHidden e importantForAccessibility='no'.","No se detecta ruido innecesario por iconos decorativos en pantallas revisadas.","Baja","Etiquetar iconos solo cuando sustituyan texto o ejecuten una acción por sí mismos.","mobile/src/screens/InfoScreen.tsx:23; mobile/src/components/TabBar.tsx:38"
"AX-28","Orientación de pantalla","1.3.4 Orientación","Revisión de restricción de orientación en Expo","Cumple","La app usa orientation default, por lo que no bloquea orientación vertical u horizontal.","Riesgo residual: validar visualmente que el layout no se rompa en horizontal.","Media","Probar pantallas Inicio, Análisis, Historial e Info en landscape.","mobile/app.json:6"
"AX-29","Escalado de texto","1.4.4 Cambio de tamaño del texto","Revisión de compatibilidad con tamaño de fuente del sistema","Cumple parcialmente","No se observa desactivación global del escalado de texto; las pantallas usan scroll y bloques flexibles.","Riesgo residual en botones o filtros si el texto se escala al 200%.","Media","Probar escalado al 200% en móvil y web; ajustar wrapping si algún control recorta texto.","mobile/src/screens/AnalyzeScreen.tsx:152; mobile/src/screens/HistoryScreen.tsx:331"
"AX-30","Operación con teclado en web","2.1.1 Teclado; 2.1.2 Sin trampas; 2.4.7 Foco visible","Revisión de componentes interactivos en React Native Web","Cumple parcialmente","Los controles principales usan Pressable y roles accesibles; no se detecta lógica que capture foco permanentemente.","Requiere prueba manual completa con Tab, Shift+Tab, Enter y Espacio en navegador.","Media","Ejecutar checklist de teclado sobre la versión Netlify antes de declarar conformidad formal completa.","mobile/src/components/PrimaryButton.tsx:29; mobile/src/screens/HistoryScreen.tsx:151"
"AX-31","Persistencia de reportes","3.3.3 Sugerencias ante errores; 4.1.3 Mensajes de estado","Revisión de almacenamiento de reportes para mejora futura","Cumple","El backend modela FeedbackReport y RejectedImageReport con fecha, motivo y comentario; el historial consume esos datos.","No se detecta pérdida funcional de reportes desde la API.","Baja","Mantener separación entre análisis normales, reportes de resultado y reportes de rechazo.","backend/diagnostics/models.py:28; backend/diagnostics/models.py:53"
"AX-32","API de historial y reportes","4.1.2 Nombre, función, valor; Robustez técnica","Revisión de endpoints usados por la interfaz","Cumple","La API expone análisis, feedback de análisis, limpieza e informes de rechazo mediante rutas REST claras.","Riesgo bajo: documentar contratos si se integra un cliente externo.","Baja","Mantener versionado o documentación de endpoints si el producto se abre a terceros.","backend/diagnostics/urls.py:7; backend/diagnostics/views.py:15"
"AX-33","Pruebas automatizadas backend","Robustez funcional de soporte a accesibilidad","Revisión de pruebas que cubren análisis, reportes y rechazos","Cumple","Las pruebas backend incluyen flujos de reporte de rechazo y validación de datos.","Las pruebas automatizadas no reemplazan pruebas con tecnologías asistivas.","Baja","Mantener pruebas de API y sumar pruebas end-to-end para flujos accesibles críticos.","backend/diagnostics/tests.py:138"
